"","ID","Easting","Northing","Ozone"
"1",480271045,1744488.99425876,7447505.92375652,34
"2",480271047,1720905.52714416,7443160.03403286,37
"3",480290032,1633554.09663739,7266968.14429716,37
"4",480290052,1638731.12643865,7280022.13479902,39
"5",480290059,1663815.10864924,7240773.18681576,38
"6",480391004,1945816.95023616,7276010.84870226,30
"7",480391016,1940202.10690995,7222818.17285438,34
"8",480430101,1191777.07111001,7246975.99447673,41
"9",480611023,1728971.98014066,6901077.69690295,34
"10",480850005,1799340.31274238,7672341.5816129,32
"11",481130069,1793461.57234277,7637459.53903293,36
"12",481130075,1797967.11438305,7648607.76732374,32
"13",481130087,1792796.50862003,7621478.93246704,36
"14",481210034,1760926.89625947,7680928.31979795,32
"15",481211032,1783757.61552226,7702820.55353143,33
"16",481391044,1794545.64469859,7565836.23155914,33
"17",481410029,902661.918309848,7535444.27682339,40
"18",481410044,890109.95969033,7533934.31764983,45
"19",481410055,894935.660480144,7531548.93398646,35
"20",481410057,905272.848921471,7522132.42052598,40
"21",481410058,893711.307956774,7547996.88606863,46
"22",481411021,882056.79303802,7545180.87099542,40
"23",481671034,1998552.74382935,7248778.67287972,44
"24",481830001,1996468.00200956,7596121.04171155,39
"25",482010024,1950451.12589959,7318503.85086144,32
"26",482010026,1970256.83805314,7308429.04968142,30
"27",482010029,1916346.73980044,7332509.39774221,35
"28",482010046,1954845.53378009,7310581.86974589,25
"29",482010047,1935050.27109401,7310432.15192223,29
"30",482010051,1937450.69543649,7287160.96768834,34
"31",482010055,1934706.30286337,7295032.56678641,35
"32",482010062,1957433.41373918,7288182.52098273,31
"33",482010066,1921397.60379871,7297566.92915399,32
"34",482010416,1954490.00716576,7294817.82039867,31
"35",482010417,1944334.38874147,7304007.019847,33
"36",482011015,1974912.84359924,7303764.6338919,32
"37",482011017,1983348.72865386,7311732.08834027,29
"38",482011034,1961255.68730542,7304178.15520558,32
"39",482011035,1957849.01004641,7300222.41511518,27
"40",482011039,1970614.63069668,7293697.12842789,35
"41",482011050,1981955.10638758,7284535.2039244,33
"42",482030002,2045828.34677802,7630898.83535196,37
"43",482090614,1684163.13639174,7345413.22959669,36
"44",482150043,1671055.61560332,6902909.16493974,24
"45",482210001,1706134.7900518,7593371.26837107,34
"46",482311006,1861724.63434069,7676642.0139764,39
"47",482450009,2070502.58487193,7339311.33183938,33
"48",482450011,2079027.8540171,7324322.4732205,31
"49",482450022,2047764.54487594,7318937.73410896,35
"50",482450101,2089404.19580575,7306030.61505198,39
"51",482450102,2077845.34897841,7329261.32059071,31
"53",482451035,2077216.94882476,7333393.34699372,35
"54",482510003,1740779.617596,7584257.52665011,34
"55",482570005,1845083.91815099,7610695.87375991,35
"56",483091037,1777215.71723102,7507300.79954534,35
"57",483390078,1938854.23987699,7367961.27144137,38
"58",483491051,1839379.83063664,7551249.43763253,38
"59",483550025,1752821.69123463,7074940.81015447,34
"60",483550026,1740724.10253377,7082103.95987957,34
"61",483611001,2099968.50628296,7346365.30999409,32
"63",483670081,1695629.28501816,7640559.18588672,31
"64",483739991,2008959.24836895,7410173.64601723,38
"65",483819991,1347820.29351247,7863209.48548078,31
"66",483970001,1830505.36415332,7651522.41681228,30
"67",484230007,1930580.49864377,7589324.59516339,39
"68",484390075,1735375.98036125,7654624.68616048,33
"69",484391002,1747113.08829122,7634664.50341862,30
"70",484392003,1753751.16471459,7647792.27929492,31
"71",484393009,1773952.93717436,7655172.75932852,32
"72",484393011,1772590.60698192,7618695.59285939,31
"73",484530014,1714739.85202664,7361577.00865698,40
"74",484530020,1703599.24579746,7375603.04721865,35
"75",484690003,1791845.81257043,7194729.5345533,38
"76",484790016,1547035.70472399,7043579.80603172,26
